text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
@peteristewart I'm sorry your parcel was just left. Have you reached out to the carrier about this: https://t.co/du1Jvpo6J0? ^MJ,FALSE,0,peteristewart,05-07-2016 16:13,FALSE,7.50359E+17,7.50362E+17,23575224,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@vijay_sharma Hey! Could you please tell us in detail about your concern over here? ^SS,FALSE,0,vijay_sharma,05-07-2016 16:12,FALSE,7.50356E+17,7.50362E+17,55913949,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@shauntweets7 Hi there, we're equally excited here to know that you've got your copy. Happy Reading from our side! :D ^KH",FALSE,1,shauntweets7,05-07-2016 16:11,FALSE,7.50359E+17,7.50361E+17,1667058326,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@shandiponidey Hey! Apologies for the delay, as soon as there is an update we will get back to you. ^SS",FALSE,0,shandiponidey,05-07-2016 16:10,FALSE,7.50358E+17,7.50361E+17,74980336,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@MaxTheWhite Some items do ship &amp; get delivered same day. If you'd like us to check on this, click here:  https://t.co/hApLpMlfHN ^DR",FALSE,0,MaxTheWhite,05-07-2016 16:09,FALSE,7.50357E+17,7.50361E+17,591390496,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@LuLu__Cooper We're unable to DM, but we do offer Live Chat here: https://t.co/JzP7hlA23B. ^LP",FALSE,0,LuLu__Cooper,05-07-2016 16:08,FALSE,7.50357E+17,7.50361E+17,1114206260,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@robwoods007 Let us know how that call back goes and if we can help out. ^JW,FALSE,0,robwoods007,05-07-2016 16:07,FALSE,7.50357E+17,7.5036E+17,152210237,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@disbanzai That's odd, thanks for bringing this to our attention. I'm able to replicate this on web, and have escalated for review. ^KC",FALSE,0,disbanzai,05-07-2016 16:07,FALSE,7.50353E+17,7.5036E+17,25289276,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@xannov I'm sorry. Was the address marked as ""commercial"" when you originally entered it? If not, update here: https://t.co/LmEzTns03j. ^RM",FALSE,0,xannov,05-07-2016 16:07,FALSE,7.50358E+17,7.5036E+17,17068332,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@ronanfla83 I'm so sorry the parcel was lost. When you contacted us, what options did we provide? ^MJ",FALSE,0,ronanfla83,05-07-2016 16:07,FALSE,7.50356E+17,7.5036E+17,467651398,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@Laura_Ann1990 Our Packaging team would like to hear from you. Would you mind providing further feedback here: https://t.co/lSVN3kb44b? ^MJ,FALSE,0,Laura_Ann1990,05-07-2016 16:06,FALSE,7.50355E+17,7.5036E+17,717902989,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@dharamwwe the concerned team. Team will investigate &amp; take appropriate action. However, we'll not be able to disclose the action taken. ^OG",FALSE,0,dharamwwe,05-07-2016 16:05,FALSE,7.50354E+17,7.5036E+17,81630926,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@nikhilkulhar Hi! Could you confirm me if you have sent the required documents? ^SP,FALSE,0,nikhilkulhar,05-07-2016 16:04,FALSE,7.50357E+17,7.5036E+17,892557469,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@Hype_The_Fox01 Sorry to hear it's not arrived as expected. Has there been any update in the tracking info: https://t.co/aaDyEz1VgE? ^LP,FALSE,0,Hype_The_Fox01,05-07-2016 16:03,FALSE,NA,7.50359E+17,3298934763,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@LynseyJPledger We'd like to look into this with you. Please reach us here: https://t.co/JzP7hlA23B for options. ^JL,FALSE,0,LynseyJPledger,05-07-2016 16:02,FALSE,7.50354E+17,7.50359E+17,214101580,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@dharamwwe Hello there! We regret for the turn on events. Since complaint was raised to our support team, the same will be sent to ^OG 1/2",FALSE,0,dharamwwe,05-07-2016 16:02,FALSE,7.50354E+17,7.50359E+17,81630926,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@SendingForSuz Keep us posted! ^JW,FALSE,0,SendingForSuz,05-07-2016 16:02,FALSE,7.50357E+17,7.50359E+17,104273805,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
"@Wyatt_Powell Always great to hear, thanks for sharing! ^JW",FALSE,1,Wyatt_Powell,05-07-2016 16:00,FALSE,7.50355E+17,7.50359E+17,18207616,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,1,FALSE,FALSE,NA,NA
@supremetakico We'd like to take a look. Please reach out to us by phone or chat using the Skip Sign In option: https://t.co/hApLpMlfHN. ^LP,FALSE,0,supremetakico,05-07-2016 15:54,FALSE,7.50353E+17,7.50357E+17,2896475794,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@MrsZumbaDancer You can manage the payment options on your account here: https://t.co/POYWE5ernt. They can all be removed at any time. ^JW,FALSE,0,MrsZumbaDancer,05-07-2016 15:53,FALSE,7.50353E+17,7.50357E+17,20035218,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
@heidicullinan KDP would be the best point of contact for resolving issues with a title submitted to them. Keep us posted on outcome. ^KC,FALSE,0,heidicullinan,05-07-2016 15:53,FALSE,7.50354E+17,7.50357E+17,16787108,"<a href=""http://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",AmazonHelp,0,FALSE,FALSE,NA,NA
